TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,PRED
23:10:27:14:01:39,ResNet50,4,4,2808.004,11.68,7.67,3.58,0.95,0.0,49.88,34.09,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:02:40,ResNet50,4,4,2808.004,11.68,7.89,3.36,0.95,0.0,35.93,32.28,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:07:08,ResNet50,4,4,2808.004,11.68,7.89,3.37,0.95,0.0,42.2,32.191666666666656,0.0,0.0,0.0,0.0,1.2,True
23:10:27:14:07:14,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.98,3.28,0.95,0.0,40.014705882352935,31.92941176470588,0.8529411764705882,0.5,82160.94117647059,3132.235294117647,2.2000000000000006,True
23:10:27:14:10:31,ResNet50,4,4,2808.004,11.68,7.78,3.48,0.95,0.0,36.04545454545455,33.2,0.0,0.0,0.0,0.0,1.1,True
23:10:27:14:10:37,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.83,3.44,0.95,0.0,38.1741935483871,32.99354838709676,0.0,10.32258064516129,0.0,61836.3870967742,2.0000000000000004,True
23:10:27:14:13:17,ResNet50,4,4,2808.004,11.68,7.64,3.63,0.95,0.0,32.13,34.23,0.0,34.5,0.0,181862.4,1.0,True
23:10:27:14:13:23,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.68,3.59,0.95,0.0,35.26551724137931,34.14137931034483,0.0,12.517241379310343,0.0,66665.93103448275,1.9000000000000008,True
23:10:27:14:13:35,SS_ConvNeXtBase,4,4,2808.004,11.68,7.42,3.85,0.95,0.0,33.540000000000006,35.683000000000014,4.29,5.47,398131.2,28508.16,7.099999999999991,True
23:10:27:14:13:43,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.45,3.83,0.95,0.0,33.89739130434783,35.75391304347827,3.730434782608696,5.069565217391304,346201.04347826086,26784.278260869567,1.5000000000000002,True
23:10:27:14:14:10,SS_ResNet101,4,4,2808.004,11.68,7.21,4.06,0.95,0.0,34.48947368421052,36.10375939849628,3.225563909774436,4.804511278195489,299346.76691729325,25007.157894736843,1.8000000000000005,True
23:10:27:14:20:00,ResNet50,4,4,2808.004,11.68,7.72,3.54,0.95,0.0,39.17272727272727,33.63636363636363,0.0,0.0,0.0,0.0,1.1,True
23:10:27:14:20:21,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.81,3.45,0.95,0.0,36.75862068965518,33.30344827586207,0.0,2.4482758620689653,0.0,22033.6551724138,1.8000000000000005,True
23:10:27:14:20:32,SS_ConvNeXtBase,4,4,2808.004,11.68,7.42,3.85,0.95,0.0,38.43720930232558,35.462790697674464,0.0,1.6395348837209305,0.0,11525.953488372092,5.699999999999996,True
23:10:27:14:20:37,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.38,3.88,0.95,0.0,40.21470588235294,35.65196078431376,0.0,1.5098039215686274,0.0,10440.78431372549,1.6000000000000003,True
23:10:27:14:20:43,SS_ResNet101,4,4,2808.004,11.68,7.17,4.08,0.95,0.0,40.61074380165288,36.13305785123968,0.0,1.3801652892561984,0.0,9478.347107438016,1.9000000000000008,True
23:10:27:14:20:49,SS_EfficientNetB1,4,4,2808.004,11.68,7.52,3.75,0.95,0.0,39.94357142857141,36.043571428571454,0.0,8.878571428571428,0.0,57636.57142857143,1.9000000000000008,True
23:10:27:14:23:35,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.24,5.03,0.95,0.0,40.37657657657657,40.29009009009011,0.0,5.878378378378378,0.0,37786.52252252252,8.199999999999987,True
23:10:27:14:24:35,SS_VGG19,4,4,2808.004,11.68,5.54,5.73,0.95,0.0,40.73568281938325,40.56035242290751,1.7004405286343611,5.748898678414097,11656.458149779735,36954.220264317184,0.5,True
23:10:27:14:25:42,ResNet50,4,4,2808.004,11.68,7.7,3.54,0.95,0.0,40.57272727272727,33.81818181818182,0.3636363636363636,0.0,1489.4545454545455,0.0,1.1,True
23:10:27:14:25:48,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.77,3.5,0.95,0.0,38.35517241379309,33.644827586206894,0.1379310344827586,0.4482758620689655,564.9655172413793,2542.344827586207,1.8000000000000005,True
23:10:27:14:25:59,SS_ConvNeXtBase,4,4,2808.004,11.68,7.4,3.87,0.95,0.0,38.58915662650603,35.53373493975904,0.0481927710843373,2.63855421686747,197.3975903614458,13225.638554216868,5.399999999999997,True
23:10:27:14:26:03,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.43,3.84,0.95,0.0,38.988775510204086,35.65714285714285,0.0408163265306122,2.397959183673469,167.18367346938774,12204.408163265309,1.5000000000000002,True
